module,dropped,supported,ery_n_real,gran_n_real,flips_verdict,note
Ery_TF,Gata1,False,1.5,3.0,False,
Ery_TF,Klf1,False,1.5,3.0,False,
Ery_TF,Tal1,False,1.5,3.0,False,
Ery_TF,Lmo2,False,1.5,3.0,False,
Ery_TF,Zfpm1,False,1.5,3.0,False,
Ery_TF,Stat5a,False,1.5,3.0,False,
Ery_TF,Bcl11a,False,1.5,3.0,False,
Ery_TF,Myb,False,1.5,3.0,False,
Ery_Heme,Alas2,False,1.0,3.0,False,
Ery_Heme,Fech,False,2.0,3.0,False,
Ery_Heme,Hmbs,False,1.5,3.0,False,
Ery_Heme,Ppox,False,2.0,3.0,False,
Ery_Heme,Cpox,False,1.5,3.0,False,
Ery_Heme,Urod,False,1.5,3.0,False,
Ery_Heme,Alad,False,2.0,3.0,False,
Ery_Membrane,Gypc,False,1.5,3.0,False,
Ery_Membrane,Ank1,False,1.5,3.0,False,
Ery_Membrane,Rhag,False,1.5,3.0,False,
Ery_Membrane,Aqp1,False,1.5,3.0,False,
Ery_Membrane,Epor,False,1.5,3.0,False,
Ery_Membrane,Tspo,False,1.5,3.0,False,
Ery_Membrane,Ermap,False,1.5,3.0,False,
Ery_Effector,Hba-a2,,,,,submodule dropped
Ery_Effector,Hbb-b1,,,,,submodule dropped
Gran_TF,Cebpa,False,1.5,3.0,False,
Gran_TF,Cebpe,False,1.5,3.0,False,
Gran_TF,Runx1,False,1.5,3.0,False,
Gran_Primary,Mpo,False,1.5,3.0,False,
Gran_Primary,Elane,False,1.5,3.0,False,
Gran_Primary,Prtn3,False,1.5,3.0,False,
Gran_Primary,Ctsg,False,1.5,3.0,False,
Gran_Secondary,Lcn2,False,1.5,3.0,False,
Gran_Secondary,S100a8,False,1.5,3.0,False,
Gran_Secondary,S100a9,False,1.5,3.0,False,
