seed,progenitor_baseline,cycling_strength,ery_excess,gran_excess,ery_n_real,gran_n_real,ery_excess_entropy,gran_excess_entropy,ery_conc,gran_conc
0,2.2383175690968833,2.239797751108805,"[0.0, 0.20312086741129542, 0.0, 3.017843961715698]","[0.5547358194986978, 2.01150631904602, 1.0941130320231118]",2,3,0.16974116248043422,0.8883168232709171,0.9159171746409708,0.3243078439027445
1,2.391664187113444,2.2124447425206504,"[0.0, 0.0, 0.0, 2.492832978566488]","[0.48294830322265625, 1.9239772160847983, 1.2515104611714682]",1,3,-0.0,0.8849556137350829,1.0,0.28885235098453144
2,2.3039306004842124,1.9692411025365193,"[0.0, 0.21711524327596, 0.0, 2.959404150644938]","[0.7726324399312334, 1.7838396231333413, 1.2446302572886148]",2,3,0.1798679775082857,0.9507032453464603,0.908866606768206,0.2039430168381752
3,2.1968091328938804,1.9489123821258545,"[0.0, 0.20821293195088675, 0.0, 3.0044579505920406]","[0.8304884433746338, 2.027127822240194, 1.1459298928578692]",2,3,0.17312485582567166,0.9365781353845719,0.9135867778708039,0.2594996068486137
4,2.323739846547445,2.0533116261164346,"[0.0, 0.27783481280008937, 0.0, 2.649812221527099]","[0.5356076558430987, 2.158364295959472, 0.6925474802652993]",2,3,0.22630925258025542,0.822256440659673,0.8734661614862601,0.456010000498448
5,2.2768062750498452,1.8435469071070354,"[0.0, 0.3268206914265952, 0.0, 2.8303434848785405]","[0.705733060836792, 2.014815409978231, 0.6652154127756758]",2,3,0.2400233078106653,0.8696823300875504,0.8619771106068667,0.39262666236553767
6,2.5662059783935547,1.9911443789800007,"[0.0, 0.0, 0.0, 2.959299723307292]","[0.3062230745951333, 1.693534056345622, 0.93398388226827]",1,3,-0.0,0.8350873601192464,1.0,0.3658913902354884
7,2.4853119055430093,1.9283072153727214,"[0.0, 0.0, 0.0, 2.1491164366404214]","[0.5803453127543134, 1.802468061447144, 0.9879244168599448]",1,3,-0.0,0.9078095989875666,1.0,0.3021098820977572
8,2.3408353328704834,1.8981728156407673,"[0.0, 0.04762776692708348, 0.0, 2.681153217951457]","[0.5462321440378823, 1.9752687613169355, 1.0902594725290933]",1,3,0.06344776217880593,0.8895654894555975,0.976728183907754,0.32034875849414296
9,2.1616767247517905,1.9862593809763591,"[0.0, 0.0, 0.0, 2.699329853057861]","[0.7030067443847656, 2.3366305033365884, 1.1832735538482666]",1,3,-0.0,0.894241169003436,1.0,0.3299833739566851
