module,dropped,supported,ery_n_real,gran_n_real,flips_verdict
Ery_TF,GATA1,False,1.0,2.0,False
Ery_TF,KLF1,False,0.0,2.0,False
Ery_TF,TAL1,False,0.0,2.0,False
Ery_TF,LMO2,False,0.0,2.0,False
Ery_TF,ZFPM1,False,1.0,2.0,False
Ery_TF,STAT5A,False,1.0,2.0,False
Ery_TF,BCL11A,False,1.0,2.0,False
Ery_TF,MYB,False,1.0,2.0,False
Ery_Heme,ALAS2,False,1.0,2.0,False
Ery_Heme,FECH,False,1.0,2.0,False
Ery_Heme,HMBS,False,1.0,2.0,False
Ery_Heme,PPOX,False,1.0,2.0,False
Ery_Heme,CPOX,False,1.0,2.0,False
Ery_Heme,UROD,False,1.0,2.0,False
Ery_Heme,ALAD,False,1.0,2.0,False
Ery_Membrane,GYPC,False,1.0,2.0,False
Ery_Membrane,ANK1,False,1.0,2.0,False
Ery_Membrane,RHAG,False,1.0,2.0,False
Ery_Membrane,AQP1,False,1.0,2.0,False
Ery_Membrane,EPOR,False,1.0,2.0,False
Ery_Membrane,TSPO,False,1.0,2.0,False
Ery_Membrane,ERMAP,False,1.0,2.0,False
Ery_Effector,HBB,False,1.0,2.0,False
Ery_Effector,HBA1,False,1.0,2.0,False
Ery_Effector,HBA2,False,1.0,2.0,False
Gran_TF,CEBPA,False,1.0,2.0,False
Gran_TF,CEBPE,False,1.0,2.0,False
Gran_TF,RUNX1,False,1.0,2.0,False
Gran_Primary,MPO,False,1.0,2.0,False
Gran_Primary,ELANE,False,1.0,2.0,False
Gran_Primary,PRTN3,False,1.0,2.0,False
Gran_Primary,CTSG,False,1.0,2.0,False
Gran_Secondary,LCN2,False,1.0,2.0,False
Gran_Secondary,CAMP,False,1.0,2.0,False
Gran_Secondary,S100A8,False,1.0,1.0,False
Gran_Secondary,S100A9,False,1.0,1.0,False
