seed,progenitor_baseline,cycling_strength,ery_excess,gran_excess,ery_n_real,gran_n_real,ery_excess_entropy,gran_excess_entropy,ery_conc,gran_conc
0,2.185511350631714,3.775961955388387,"[0.4219766457875571, 0.0, 0.21038738886515285, 1.2775017420450845]","[0.6940743923187256, 2.8325674533843994, 1.6746259530385337]",1,2,0.6099457059976879,0.8780266936571142,0.5585281141267192,0.3168876021158768
1,2.142188390096029,3.797011454900106,"[0.62895925839742, 0.28300046920776367, 0.6685517628987627, 2.487709919611613]","[0.46483445167541504, 3.520785172780355, 1.4934736092885332]",1,2,0.7729786133654304,0.7716898120872281,0.48199755087926704,0.4638780604507949
2,2.2364391485850015,3.349060376485189,"[0.5594671567281089, 0.0, 0.16522757212320993, 0.7401955127716064]","[0.4372696081797285, 3.0497650305430093, 2.4233569304148355]",1,2,0.6915361780837628,0.818860340717618,0.34038768843328243,0.27400075651536454
3,2.068299492200216,3.394145409266154,"[0.5430957078933716, 0.13754689693450928, 0.4334044059117632, 2.1974092721939082]","[0.7263222138086953, 3.433557470639547, 2.188397447268168]",1,2,0.6974811562692186,0.862527106129754,0.5514372265836941,0.31129668713230907
4,2.106429934501648,3.9696315924326577,"[0.6129653851191201, 0.0, 0.377609690030416, 0.9760841925938926]","[0.7905939817428589, 3.2495806614557905, 2.1064341465632124]",1,2,0.7414684737690783,0.8808861636182204,0.32842115127471283,0.2930179321486529
5,2.2814695040384927,3.74818483988444,"[0.8596537907918296, 0.0, 0.23676347732543945, 0.989558219909668]","[0.3327120145161948, 3.299509366353353, 1.4098337491353354]",1,2,0.69686511415571,0.740196304437312,0.29918175011453085,0.4815965755862802
6,2.4390672047932944,3.819577693939209,"[0.07010436058044434, 0.0, 0.0, 1.2592920462290444]","[0.2282252311706543, 2.5716946919759116, 1.3966840902964273]",0,2,0.14894954638967112,0.7505801769730027,0.929688029623717,0.419205630459055
7,2.3474398454030356,3.4479215145111084,"[0.3318007787068682, 0.0, 0.31630523999532034, 1.667520602544149]","[0.4262270927429199, 3.171028216679891, 1.9478642145792642]",1,2,0.5675302218931341,0.8049271608610437,0.6268218069610554,0.3577889627863063
8,2.3016544183095298,3.7827843030293784,"[0.3664522965749102, 0.23790931701660156, 0.4327864646911621, 2.269104321797689]","[0.5525715351104736, 3.3651850223541255, 1.6748317082722979]",1,2,0.6908224796392115,0.8150538337805229,0.5817427295195956,0.4025834360910311
9,2.1293014685312905,3.597365617752075,"[0.7612661520640058, 0.06924080848693848, 0.06787558396657323, 1.3819117546081543]","[0.4836841424306235, 3.6487154165903726, 1.6079037189483643]",1,2,0.6351404895497128,0.7763755509006399,0.47469789616660013,0.4534466838869994
